question,subject,temp_answer,key_answer,is_correct,is_flagged,comparison_result
1,1,A,B,False,False,✗ INCORRECT
2,1,A,C,False,False,✗ INCORRECT
3,1,A,D,False,False,✗ INCORRECT
4,1,A,A,True,False,✓ CORRECT
5,1,A,B,False,False,✗ INCORRECT
6,1,A,C,False,False,✗ INCORRECT
7,1,A,D,False,False,✗ INCORRECT
8,1,A,A,True,False,✓ CORRECT
9,1,A,B,False,False,✗ INCORRECT
10,1,A,C,False,False,✗ INCORRECT
11,1,A,D,False,False,✗ INCORRECT
12,1,A,A,True,False,✓ CORRECT
13,1,A,B,False,False,✗ INCORRECT
14,1,A,C,False,False,✗ INCORRECT
15,1,A,D,False,False,✗ INCORRECT
16,1,A,A,True,False,✓ CORRECT
17,1,A,B,False,False,✗ INCORRECT
18,1,A,C,False,False,✗ INCORRECT
19,1,A,D,False,False,✗ INCORRECT
20,1,A,A,True,False,✓ CORRECT
21,2,A,B,False,False,✗ INCORRECT
22,2,A,C,False,False,✗ INCORRECT
23,2,A,D,False,False,✗ INCORRECT
24,2,A,A,True,False,✓ CORRECT
25,2,A,B,False,False,✗ INCORRECT
26,2,A,C,False,False,✗ INCORRECT
27,2,A,D,False,False,✗ INCORRECT
28,2,A,A,True,False,✓ CORRECT
29,2,A,B,False,False,✗ INCORRECT
30,2,A,C,False,False,✗ INCORRECT
31,2,A,D,False,False,✗ INCORRECT
32,2,A,A,True,False,✓ CORRECT
33,2,A,B,False,False,✗ INCORRECT
34,2,A,C,False,False,✗ INCORRECT
35,2,A,D,False,False,✗ INCORRECT
36,2,A,A,True,False,✓ CORRECT
37,2,A,B,False,False,✗ INCORRECT
38,2,A,C,False,False,✗ INCORRECT
39,2,A,D,False,False,✗ INCORRECT
40,2,A,A,True,False,✓ CORRECT
41,3,A,B,False,False,✗ INCORRECT
42,3,A,C,False,False,✗ INCORRECT
43,3,A,D,False,False,✗ INCORRECT
44,3,A,A,True,False,✓ CORRECT
45,3,A,B,False,False,✗ INCORRECT
46,3,A,C,False,False,✗ INCORRECT
47,3,A,D,False,False,✗ INCORRECT
48,3,A,A,True,False,✓ CORRECT
49,3,A,B,False,False,✗ INCORRECT
50,3,A,C,False,False,✗ INCORRECT
51,3,A,D,False,False,✗ INCORRECT
52,3,A,A,True,False,✓ CORRECT
53,3,A,B,False,False,✗ INCORRECT
54,3,A,C,False,False,✗ INCORRECT
55,3,A,D,False,False,✗ INCORRECT
56,3,A,A,True,False,✓ CORRECT
57,3,A,B,False,False,✗ INCORRECT
58,3,A,C,False,False,✗ INCORRECT
59,3,A,D,False,False,✗ INCORRECT
60,3,A,A,True,False,✓ CORRECT
61,4,A,B,False,False,✗ INCORRECT
62,4,A,C,False,False,✗ INCORRECT
63,4,A,D,False,False,✗ INCORRECT
64,4,A,A,True,False,✓ CORRECT
65,4,A,B,False,False,✗ INCORRECT
66,4,A,C,False,False,✗ INCORRECT
67,4,A,D,False,False,✗ INCORRECT
68,4,A,A,True,False,✓ CORRECT
69,4,A,B,False,False,✗ INCORRECT
70,4,A,C,False,False,✗ INCORRECT
71,4,A,D,False,False,✗ INCORRECT
72,4,A,A,True,False,✓ CORRECT
73,4,A,B,False,False,✗ INCORRECT
74,4,A,C,False,False,✗ INCORRECT
75,4,A,D,False,False,✗ INCORRECT
76,4,A,A,True,False,✓ CORRECT
77,4,A,B,False,False,✗ INCORRECT
78,4,A,C,False,False,✗ INCORRECT
79,4,A,D,False,False,✗ INCORRECT
80,4,A,A,True,False,✓ CORRECT
81,5,A,B,False,False,✗ INCORRECT
82,5,A,C,False,False,✗ INCORRECT
83,5,A,D,False,False,✗ INCORRECT
84,5,A,A,True,False,✓ CORRECT
85,5,A,B,False,False,✗ INCORRECT
86,5,A,C,False,False,✗ INCORRECT
87,5,A,D,False,False,✗ INCORRECT
88,5,A,A,True,False,✓ CORRECT
89,5,A,B,False,False,✗ INCORRECT
90,5,A,C,False,False,✗ INCORRECT
91,5,A,D,False,False,✗ INCORRECT
92,5,A,A,True,False,✓ CORRECT
93,5,A,B,False,False,✗ INCORRECT
94,5,A,C,False,False,✗ INCORRECT
95,5,A,D,False,False,✗ INCORRECT
96,5,A,A,True,False,✓ CORRECT
97,5,A,B,False,False,✗ INCORRECT
98,5,A,C,False,False,✗ INCORRECT
99,5,A,D,False,False,✗ INCORRECT
100,5,A,A,True,False,✓ CORRECT
